repository_id,country,ir_platform,name
university_calgary,CA,dspace,University of Calgary PRISM
kansas_state_university,US,dspace,Kansas State University Research Exchange (K-REx)
university_winnipeg,CA,dspace,University of Winnipeg WinnSpace
swarthmore_college,US,digitalcommons,Swarthmore College Works
swarthmore_tricollege_consortium,US,dspace,Swarthmore College: Institutional Scholarship
swedish_university_ag_sci_archive,SE,eprints,Swedish University of Agricultural Sciences Epsilon Open Archive
swedish_university_ag_sci_student_projects,SE,eprints,Swedish University of Agricultural Sciences Epsilon Archive for Student Projects
massey_university,NZ,dspace,Massey University Massey Research Online
brock_university,CA,dspace,Brock University Digital Repository
boston_university,US,dspace,Boston University OpenBU
université_laval,CA,dspace,Université Laval CorpusUL
california_tech_authors,US,eprints,CaltechAUTHORS
california_tech_thesis,US,eprints,CaltechTHESIS
university_texas,US,dspace,University of Texas Scholarworks
mcmaster_university,CA,dspace,McMaster University MacSphere
maryland_soar,US,dspace,Maryland MD-SOAR
maryland_drum,US,dspace,University of Maryland DRUM
texas_am_university,US,dspace,OAKTrust digital repository at Texas A&M
colorado_wyoming_mtn_scholar,US,dspace,Colorado and Wyoming Mountain Scholar
university_waterloo,CA,dspace,University of Waterloo UWSpace
university_miami,US,esploro,University of Miami Scholarship@Miami
university_michigan,US,dspace,University of Michigan Deep Blue
montana_state_university,US,dspace,Montana State University Scholarworks
university_nebraska_lincoln,US,digitalcommons,Digital Commons @ The University of Nebraska Lincoln
university_wollongong,AU,digitalcommons,University of Wollongong Australia: Research Online
iowa_state_university,US,digitalcommons,Iowa State University Digital Repository
virginia_commonwealth_university,US,digitalcommons,Virginia Commonwealth University Scholars Compass
university_arizona,US,dspace,University of Arizona Campus Repository
university_nevada_reno,US,dspace,"University of Nevada, Reno Scholarworks"
cornell_university,US,dspace,"eCommons, Cornell's digital repository"
university_minnesota,US,dspace,University of Minnesota Digital Conservancy
university_houston,US,dspace,University of Houston Institutional Repository
southeast_asian_fisheries_dev_ctr,PH,dspace,DSpace @ Southeast Asian Fisheries Development Center
university_pittsburgh,US,eprints,University of Pittsbugh D-Scholarship@Pitt
university_western_cape_etd,ZA,dspace,University of the Western Cape Electronic Theses and Dissertations Repository
university_western_cape_repository,ZA,dspace,University of the Western Cape Repository
vancouver_island_royal_roads_universities,CA,dspace,Royal Roads University and Vancouver Island University VIURRSpace
university_strathclyde,UK,eprints,University of Strathclyde Strathprints
university_montana,US,digitalcommons,University of Montana ScholarWorks
virginia_tech,US,dspace,Virginia Tech VTechWorks
sam_houston_state_university,US,dspace,Sam Houston State University Scholarly Works @ SHSU
indiana_university_purdue_university_indianapolis,US,dspace,Indiana University - Purdue University Indianapolis (IUPUI) ScholarWorks
university_plymouth,UK,dspace,University of Plymouth PEARL
california_digital_library,US,other,California Digital Library eScholarship
chinese_university_hong_kong_digital_repository,HK,islandora,The Chinese University of Hong Kong (CUHK) Digital Repository
chinese_university_hong_kong_digital_projects,HK,other,The Chinese University of Hong Kong (CUHK) Library Digital Scholarship Projects Site
tacc_designsafe,US,other,DesignSafe-CI
atmire,US,dspace,Atmire Open Repository Public Demo Repository
oklahoma_shareok,US,dspace,SHAREOK
university_nevada_las_vegas,US,digitalcommons,"University of Nevada, Las Vegas Digital Scholarshop@UNLV"
university_kentucky,US,digitalcommons,University of Kentucky UKnowledge
smithsonian_research,US,dspace,Smithsonian Research Online
northern_kentucky_university,US,dspace,Northern Kentucky University Digital Repositor
international_food_policy_research_inst,US,contentdm,International Food Policy Research Institute (IFPRI) e-brary Knowledge Repository
northeastern_university,US,fedora,Northeastern University Digital Repository Service
rutgers_university,US,fedora,Rutgers University RUcore Institutional Repository
arizona_state_keep,US,islandora,Arizona State University KEEP Repository
arizona_state_prism,US,islandora,Arizona State University PRISM Repository
rutgers_university_soar,US,esploro,SOAR: Scholarly Open Access at Rutgers
brandeis_university_scholarworks,US,esploro,Brandeis University Scholarworks
australian_catholic_university,AU,haplo,Australian Catholic University's ResearchBank
university_new_mexico,US,digitalcommons,University of New Mexico Digital Repository
carroll_college,US,dspace,Carroll College Carroll Scholars
universidad_peruana_ciencias,PE,dspace,Repositorio Académico do Universidad Peruana de Ciencias Aplicadas
ural_state_pedagogical_university_archive,RU,dspace,Electronic Archive of the Ural State Pedagogical University
russian_state_vocational_pedagogical_university,RU,dspace,Institutional Repository of Russian State Vocational Pedagogical University
ural_federal_university_archive,RU,dspace,Electronic Archive of the Ural Federal University
swinburne_university_research_bank,AU,other,Swinburne University of Technology Research Bank
illinois_institute_technology,US,islandora,Illinois Institute of Technology repository.iit
